Cell	ImmClassifier_prediction
A10_P3_M11	L:NK
A11_P1_M11	L:T:CD8:EM
A11_P3_M11	L:T:CD8:Ex
A11_P4_M11	L:T:CD4:Treg
A12_P3_M11	L:T:CD8:EM
A12_P6_M11	L:T:CD8:TRM
A2_P1_M11	L:T:CD4:Treg
A2_P4_M11	L:T:CD8:EM
A3_P1_M11	L:NK
A3_P3_M11	L:T:CD4:Tfh
A4_P3_M11	L:T:CD8:TRM
A4_P4_M11	L:T:CD8:TRM
A4_P6_M11	L:T:CD8:CM
A5_P4_M11	L:T:CD4:Treg
A5_P5_M11	M:pDC
A6_P1_M11	L:NK
A6_P4_M11	L:T:CD4:Tfh
A6_P6_M11	L:T:CD8:TRM
A7_P2_M11	L:T:CD8:EM
A7_P6_M11	L:T:CD8:EM
A8_P1_M11	L:NK
A8_P6_M11	L:NK
A9_P1_M11	L:T:CD4:Tfh
A9_P4_M11	L:T:CD8:TRM
B10_P1_M11	L:T:CD8:TRM
B10_P3_M11	L:T:CD8:Naive
B10_P4_M11	L:T:CD8:EMRA
B10_P6_M11	L:T:CD8:Ex
B11_P6_M11	L:T:CD4:Ex
B12_P3_M11	L:T:CD8:EMRA
B12_P4_M11	L:T:CD8:TRM
B1_P2_M11	L:B
B1_P4_M11	L:T:CD8:CM
B2_P1_M11	L:T:CD4:Ex
B2_P5_M11	L:T:CD8:TRM
B2_P6_M11	L:T:CD4:Tfh
B3_P1_M11	L:NK
B3_P5_M11	L:T:CD4:Ex
B4_P1_M11	L:T:CD4:EM
B4_P4_M11	L:T:CD4:Tfh
B4_P6_M11	M:Mega
B5_P1_M11	L:T:CD8:EMRA
B5_P6_M11	L:T:CD8:TRM
B6_P1_M11	L:T:CD8:TRM
B7_P4_M11	L:T:CD8:TRM
B8_P6_M11	L:T:CD4:Treg
B9_P2_M11	L:T:CD8:EM
C10_P4_M11	L:T:CD4:EM
C10_P6_M11	L:T:CD8:EM
C11_P4_M11	L:T:CD8:TRM
C11_P6_M11	L:T:CD4:Ex
C12_P4_M11	L:T:CD8:TRM
C1_P3_M11	L:T:CD8:TRM
C1_P4_M11	L:T:CD8:TRM
C2_P6_M11	M:Mono:mDC
C3_P1_M11	L:T:CD8:TRM
C4_P1_M11	L:T:CD8:EM
C4_P3_M11	L:T:CD8:TRM
C4_P4_M11	L:T:CD8:CM
C4_P6_M11	L:T:CD8:EM
C5_P3_M11	L:T:CD8:EM
C5_P5_M11	L:T:CD4:Treg
C5_P6_M11	L:T:CD8:EM
C6_P2_M11	L:T:CD4:Treg
C6_P3_M11	L:T:CD4:Treg
C6_P4_M11	L:T:CD8:TRM
C7_P3_M11	L:T:CD4:EM
C7_P5_M11	L:T:CD4:EM
C7_P6_M11	L:T:CD8:EM
C8_P3_M11	L:B:PC
C8_P5_M11	L:T:CD4:Treg
C9_P1_M11	L:T:CD8:TRM
C9_P2_M11	L:NK
C9_P4_M11	L:T:CD4:EM
D10_P1_M11	L:T:CD8:EM
D10_P6_M11	L:T:CD4:EM
D11_P6_M11	L:NK
D12_P6_M11	L:T:CD8:TRM
D1_P1_M11	L:T:CD8:EM
D1_P4_M11	L:T:CD8:TRM
D1_P6_M11	M:pDC
D2_P4_M11	L:T:CD8:EM
D2_P6_M11	L:T:CD8:EM
D3_P1_M11	L:T:CD8:EM
D3_P3_M11	L:NK
D3_P6_M11	L:T:CD4:Ex
D4_P1_M11	L:T:CD8:TRM
D4_P3_M11	L:T:CD8:TRM
D4_P4_M11	L:T:CD8:EM
D4_P6_M11	L:T:CD8:EM
D5_P4_M11	L:T:CD8:EM
D5_P5_M11	L:NK
D5_P6_M11	L:T:CD8:TRM
D6_P1_M11	L:T:CD8:EMRA
D6_P3_M11	L:T:CD8:TRM
D6_P5_M11	L:T:CD8:TRM
D6_P6_M11	L:T:CD8:EM
D7_P3_M11	L:T:CD8:TRM
D7_P5_M11	L:T:CD8:EM
D8_P2_M11	L:T:CD8:EM
D8_P3_M11	L:T:CD4:Treg
D8_P4_M11	L:T:CD4:Treg
D9_P3_M11	L:T:CD8:EM
D9_P4_M11	L:T:CD4:Treg
D9_P5_M11	L:T:CD8:TRM
E10_P2_M11	L:T:CD8:TRM
E10_P4_M11	L:T:CD4:EM
E10_P6_M11	M:pDC
E11_P6_M11	L:T:CD4:Treg
E12_P6_M11	L:T:CD4:EM
E1_P4_M11	L:T:CD8:EM
E2_P5_M11	L:NK
E4_P1_M11	L:NK
E4_P3_M11	L:T:CD4:EM
E4_P6_M11	L:T:CD4:Treg
E5_P3_M11	L:NK
E5_P5_M11	L:T:CD4:EM
E6_P1_M11	L:T:CD8:EM
E6_P3_M11	L:NK
E6_P4_M11	L:T:CD8:EMRA
E6_P5_M11	L:T:CD4:Treg
E6_P6_M11	L:T:CD4:EM
E7_P1_M11	L:T:CD8:EM
E7_P2_M11	L:T:CD4:Treg
E7_P3_M11	L:T:CD4:EM
E7_P5_M11	L:T:CD8:TRM
E7_P6_M11	L:NK
E8_P1_M11	L:B:PC
E8_P2_M11	L:T:CD8:EM
E8_P5_M11	L:T:CD8:EM
E9_P1_M11	L:T:CD4:EM
E9_P3_M11	L:B:PC
E9_P5_M11	L:T:CD8:EMRA
F10_P1_M11	L:T:CD4:Treg
F10_P2_M11	L:T:CD8:EM
F10_P3_M11	L:T:CD8:EMRA
F10_P4_M11	L:T:CD8:EM
F10_P5_M11	L:NK
F10_P6_M11	L:T:CD8:TRM
F11_P3_M11	L:T:CD4:EM
F11_P6_M11	L:T:CD8:TRM
F12_P6_M11	M:Neu
F2_P1_M11	L:T:CD8:EM
F3_P1_M11	L:T:CD8:EMRA
F3_P4_M11	L:T:CD4:EM
F3_P5_M11	L:NK
F4_P1_M11	L:T:CD4:EM
F4_P3_M11	L:T:CD4:EM
F4_P5_M11	L:T:CD8:CM
F4_P6_M11	L:T:CD4:EM
F5_P1_M11	L:T:CD8:TRM
F5_P5_M11	L:T:CD8:TRM
F6_P1_M11	L:T:CD4:EM
F6_P2_M11	L:T:CD4:Treg
F6_P4_M11	L:T:CD8:Ex
F6_P5_M11	L:T:CD8:CM
F7_P1_M11	L:T:CD8:CM
F7_P2_M11	L:T:CD8:TRM
